KNOW,"Be aware of through observation, inquiry, or information.",Ọ̀RỌ̀,FÚN,RẸ̀
LADY,A woman of refinement and gentle manners.,WÀ,BÚN,
LAKE,A large body of water surrounded by land.,Ẹ̀JỌ́,RẸ̀,
LAND,The solid ground of the earth.,KÙN,,
LARGE,"Of considerable or relatively great size, extent, or capacity.",DÁ,,
LAST,Coming after all others in time or order; final.,DÁ,,
LATE,Happening or being after the usual or expected time.,ÌYÀWỌ̀,,
LAUGH,Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.,MÓ,,
LAW,A system of rules recognized by a country or community.,Ọ̀NÀ,,
LAY,"Put down, especially gently or carefully.",Ọ̀NÀ,,
LAZY,Unwilling to work or use energy.,TÍ,,
NEVER,At no time in the past or future; on no occasion.,BÍ,,
GRANDFATHER,The father of one's father or mother.,DÁ,,
GRASS,A green plant with narrow leaves growing on stems that are either short (as in lawn grass) or long (as in meadow grass).,NÍ,,
GREAT,"Of an extent, amount, or intensity considerably above average.",BÈÉNI,,
GREEN,Of the color between blue and yellow in the spectrum; fresh and vibrant.,TÍ,,
GREY,Of a color intermediate between black and white.,NÍ,,
GROUND,The solid surface of the Earth.,SÉ,,
GROUP,"A number of people or things that are located, gathered, or classed together.",FÚN,,
GROW,To undergo natural development by increasing in size or changing physically.,RÍ,,
GUESS,Estimate or suppose (something) without sufficient information to be sure of being correct.,Ẹ̀NÍYÀN,,
GUN,"A weapon incorporating a metal tube from which bullets, shells, or other missiles are propelled by explosive force.",WÀ,,
GUY,A man.,Ọ̀SẸ,,
HAIR,"Any of the fine threadlike strands growing from the skin of humans, mammals, and some other animals.",BÍ,,
HALF,Either of two equal or corresponding parts into which something is or can be divided.,KÚ,,
HALL,"A large and imposing room, typically with a long, high",WÀ,,
HAND,"The end part of a person's arm beyond the wrist, including the palm, fingers, and thumb.",WÀ,,
HANDLE,"A part of an object designed to be held, grasped, or operated by the hand.",Ọ̀RỌ̀,,
LEAD,Be in charge or command of.,TÍ,,
LEARN,"Gain or acquire knowledge of or skill in (something) by study, experience, or being taught.",MẸ́RẸ̀,,
LEAST,"Smallest in amount, extent, or significance.",RẸ̀,,
LEAVE,Go away from.,FÚN,,
LEFT,On or to the side of the body that is to the west when one is facing north.,Ẹ̀YỌ̀,,
LEG,Each of the limbs on which a person or animal walks and stands.,ỌJỌ́RÙ,,
LESS,A smaller amount of; not as much.,RẸ̀,,
LET,Not prevent or forbid; allow.,JÌ,,
LETTER,"A written, typed, or printed communication, especially one sent in an envelope by mail or messenger.",NÍ,,
LEVEL,Having a flat and even surface without slopes or bumps.,NÍ,,
LIE,(of a person or animal) be in or assume a horizontal or resting position on a supporting surface.,RÍ,,
LIFE,The condition that distinguishes animals and plants from inorganic matter.,RẸ̀,,
LIFT,Raise to a higher position or level.,NÍ,,
LIGHT,The natural agent that stimulates sight and makes things visible.,Rẹ̀,,
LIKE,Having the same characteristics or qualities as; similar to.,Ọ̀RÍLẸ̀,,
LINE,"A long, narrow mark or band.",Rẹ̀,,
LIP,Either of the two fleshy parts that form the upper and lower edges of the opening of the mouth.,ÌSỌ̀NÀ,,
LIST,A number of connected items or names written or printed consecutively.,WÀ,,
LISTEN,Give attention with the ear; attend closely for the purpose of hearing.,NÍ,,
LITTLE,"Small in size, amount, or degree.",ÌSẸ́,,
LIVE,Remain alive.,Rẹ̀,,
LOAD,A heavy or bulky thing that is being carried or is about to be carried.,RẸ̀,,
LOCAL,"Relating to or occurring in a particular area, city, or town.",WỌ̀N,,
LOCK,"A mechanism for keeping a door, lid, etc., fastened, typically operated only by a key of a particular form.",RẸ̀,,
LONG,Measuring a great distance from end to end.,FÚN,,
LOOK,Direct one's gaze toward someone or something.,FÚN,,
LORD,"Someone or something having power, authority, or influence.",Ọ̀FẸ̀,,
LOSE,Be deprived of or cease to have or retain.,FÚN,,
LOT,"A particular group, set, or quantity of something.",Ọ̀MỌ,,
LOUD,Producing or capable of producing much noise.,FÚN,,
LOVE,An intense feeling of deep affection.,RẸ̀,,
OLD,Having lived for a long time; no longer young.,OBA,,
ON,In a position above and in contact with the surface.,FÚN,,
ONCE,On one occasion or for one time only.,BÚN,,
AMONG,In or through the midst of a group of people or things.,RẸ̀,,
AMOUNT,"The total, sum, or quantity of something.",,,
AND,A conjunction used to connect words or groups of words.,,,
ANGRY,Feeling strong displeasure or hostility.,,,
ANIMAL,"A living organism that feeds on organic matter, typically having specialized sense organs and nervous systems.",,,
ANOTHER,Used to refer to an additional person or thing.,,,
ANSWER,A response or solution to a question or problem.,,,
ANY,"Used to refer to one or some of a thing or number of things, no matter how much or many.",,,
APART,Separated by a distance in space or time.,,,
APPARENT,Clearly visible or understood; obvious.,,,
APPEAR,To come into sight; become visible or noticeable.,,,
AREA,"A region or part of a town, country, or the world.",,,
ARM,Each of the two upper limbs of the human body from the shoulder to the hand.,,,
AROUND,In a circular or surrounding space; on all sides.,,,
ARRANGE,"Put things in a neat, attractive, or required order.",,,
ARRIVE,Reach a destination or point in time.,,,
ART,The expression or application of human creative skill and imagination.,,,
AS,Used to indicate a role or function.,,,
ASHAMED,"Feeling embarrassed or guilty because of one's actions, characteristics, or associations.",,,
ASK,To inquire about something; request an answer or information.,,,
AT,Expressing location or arrival in a particular place or position.,,,
AUNT,The sister of one's father or mother or the wife of one's uncle.,,,
AUTUMN,"The season between summer and winter, often characterized by falling leaves and cooler temperatures.",,,
AWARE,Having knowledge or perception of a situation or fact.,,,
AWAY,"At a distance from a particular place, person, or thing.",,,
AWFUL,Extremely bad or unpleasant.,,,
BABY,A very young child.,,,
CHOOSE,Pick out or select something as being the best or most appropriate.,,,
CHRISTMAS,The annual Christian festival celebrating the birth of Jesus Christ.,,,
CHURCH,A building used for public Christian worship.,,,
CITY,A large human settlement.,,,
CLASS,A set or category of things having some property or attribute in common.,,,
CLEAN,"Free from dirt, marks, or unwanted matter.",,,
CLEAR,"Easy to perceive, understand, or interpret.",,,
CLIMB,Ascend or move up using one's hands and feet.,,,
CLOCK,A device for measuring and showing the time.,,,
CLOSE,Near in space or time; not far away.,,,
CLOSED,Not open.,,,
CLOTHES,Items worn to cover the body.,,,
CLUB,An association or organization dedicated to a particular interest or activity.,,,
COAT,A garment worn over other clothing.,,,
COFFEE,A popular beverage made from roasted coffee beans.,,,
COLD,Of or at a low temperature.,,,
COLLECT,Gather together; accumulate.,,,
COLLEGE,An educational institution or establishment.,,,
COLOUR,The property possessed by an object of producing different sensations on the eye.,,,
COME,Move or travel toward or into a place.,,,
COMFORT,A state of physical ease and freedom from pain or constraint.,,,
COMPANY,A commercial business; a firm.,,,
COMPLETE,Having all the necessary or appropriate parts.,,,
BILLION,A numerical value equal to one thousand million.,,,
BIRD,A warm,,,
BIRTH,The emergence of a baby or other young from the body of its mother.,,,
BIT,"The smallest unit of data in a computer, representing a binary digit.",,,
BLACK,"The darkest color, absorbing all light.",,,
BLOOD,The red liquid that circulates in the arteries and veins.,,,
BLOW,"A sudden, hard hit or impact.",,,
BLUE,A color resembling the sky on a clear day.,,,
BOARD,"A long, flat piece of wood or other hard material.",,,
BOAT,A small vessel for traveling on water.,,,
BODY,The physical structure of an organism.,,,
BONE,A rigid organ that constitutes part of the vertebrate skeleton.,,,
BOOK,A written or printed work consisting of pages.,,,
BORING,Uninteresting or tedious.,,,
BORN,Brought into existence through birth.,,,
BOTH,The one and the other.,,,
BOTHER,Annoy or cause distress to.,,,
BOTTLE,A container with a narrow neck for storing liquids.,,,
BOTTOM,The lowest point or part of something.,,,
BOX,A container with a flat base and sides.,,,
BOY,A male child or young man.,,,
BREAD,A staple food made from flour.,,,
BREAK,Separate into pieces as a result of a blow.,,,
BREAKFAST,The first meal of the day.,,,
BREATH,The air taken into or expelled from the lungs.,,,
BRIGHT,Emitting a lot of light.,,,
BRING,Cause to come to a place.,,,
BROTHER,A male sibling.,,,
BROWN,The color of dark wood or rich soil.,,,
BUILD,Construct by putting parts together.,,,
BURN,Cause to undergo combustion.,,,
DELICIOUS,Highly pleasant to the taste.,,,
DEPEND,Rely on someone or something.,,,
DIE,Cease to exist.,,,
DIFFERENCE,A point or way in which people or things are dissimilar.,,,
DIFFERENT,Not the same as another or each other.,,,
DIFFICULT,Needing much effort or skill to accomplish.,,,
DIG,"Break up, turn over, or remove earth.",,,
DINNER,The main meal of the day.,,,
DIRTY,Covered or marked with an unclean substance.,,,
DISCOVER,Find unexpectedly or in the course of a search.,,,
DO,Perform an action.,,,
DOCTOR,A qualified practitioner of medicine.,,,
DOG,A domesticated carnivorous mammal.,,,
DOOR,"A hinged, sliding, or revolving barrier.",,,
DOUBLE,Having two of something.,,,
DOUBT,A feeling of uncertainty.,,,
DOWN,Toward or in a lower place.,,,
DRAW,Produce a picture or diagram by making lines on paper.,,,
DREAM,"A series of thoughts, images, and sensations occurring in a person's mind during sleep.",,,
DRESS,Put on clothes.,,,
DRINK,Take liquid into the mouth and swallow.,,,
DRIVE,Operate and control the direction and speed of a motor vehicle.,,,
DROP,Let or make something fall vertically.,,,
DRUG,A substance that has a physiological effect when introduced into the body.,,,
DRY,Free from moisture.,,,
DURING,Throughout the course or duration of.,,,
EACH,Every one of two or more people or things.,,,
EAR,The organ of hearing and balance.,,,
EARLY,Happening or done before the usual or expected time.,,,
EARTH,The planet on which we live.,,,
EAST,The direction toward the point of the horizon where the sun rises.,,,
GAS,An air,,,
GENERAL,A high,,,
GENTLE,Mild in temperament or behavior.,,,
GET,Come to have or hold.,,,
GIRL,A female child.,,,
GIVE,Freely transfer the possession of something to someone.,,,
GLAD,Pleased; delighted.,,,
GLANCE,Take a brief or hurried look.,,,
GLASS,"A hard, brittle substance, typically transparent.",,,
GO,Move from one place to another.,,,
GOD,A superhuman being or spirit worshipped.,,,
GOLD,A yellow precious metal.,,,
GOOD,To be desired or approved of.,,,
GOODBYE,Used to express good wishes when parting.,,,
GOVERN,"Conduct the policy, actions, and affairs of a state.",,,
